group,tr_25p,tr_50p,sesmpd_25p,sesmpd_25p_p,sesmpd_50p,sesmpd_50p_p
Adr,112,113,-2.93243399556671,0.001,-2.8763494368774194,0.003
Alx,130,147,-2.8779329501232596,0.004,-3.063136876068392,0.003
Clf,293,355,-5.647846955251754,0.001,-6.24965890477649,0.001
Snd,477,701,-1.3895805083479258,0.077,-2.584941846913328,0.005
MdtLB,70,80,-1.5555070685645758,0.062,-1.9972502074525464,0.024
MdtOC,71,72,-1.6378221599804625,0.056,-1.6487627282748176,0.058
Mlk,247,324,-2.7760105249976355,0.004,-2.4834786160256677,0.006
Mln,215,241,1.0891207972249006,0.866,1.468006680770808,0.933
Phl,440,504,-5.4924326435979545,0.001,-5.551661820756769,0.001
